"";"DIM2";"Maakond";"DIM3";"Tegevusvaldkond";"DIM4";"Sugu";"TIME";"Vaatlusperiood";"Value"
"221";37;"Harju maakond";2;"Folkloor";1;"Mehed";2008;2008;33
"222";37;"Harju maakond";2;"Folkloor";1;"Mehed";2009;2009;21
"223";37;"Harju maakond";2;"Folkloor";1;"Mehed";2010;2010;42
"224";37;"Harju maakond";2;"Folkloor";1;"Mehed";2011;2011;69
"225";37;"Harju maakond";2;"Folkloor";1;"Mehed";2012;2012;69
"226";37;"Harju maakond";2;"Folkloor";1;"Mehed";2013;2013;69
"227";37;"Harju maakond";2;"Folkloor";1;"Mehed";2014;2014;73
"228";37;"Harju maakond";2;"Folkloor";1;"Mehed";2015;2015;72
"229";37;"Harju maakond";2;"Folkloor";1;"Mehed";2016;2016;65
"230";37;"Harju maakond";2;"Folkloor";1;"Mehed";2017;2017;72
"231";37;"Harju maakond";2;"Folkloor";1;"Mehed";2018;2018;65
"232";37;"Harju maakond";2;"Folkloor";2;"Naised";2008;2008;97
"233";37;"Harju maakond";2;"Folkloor";2;"Naised";2009;2009;72
"234";37;"Harju maakond";2;"Folkloor";2;"Naised";2010;2010;133
"235";37;"Harju maakond";2;"Folkloor";2;"Naised";2011;2011;195
"236";37;"Harju maakond";2;"Folkloor";2;"Naised";2012;2012;195
"237";37;"Harju maakond";2;"Folkloor";2;"Naised";2013;2013;195
"238";37;"Harju maakond";2;"Folkloor";2;"Naised";2014;2014;213
"239";37;"Harju maakond";2;"Folkloor";2;"Naised";2015;2015;221
"240";37;"Harju maakond";2;"Folkloor";2;"Naised";2016;2016;204
"241";37;"Harju maakond";2;"Folkloor";2;"Naised";2017;2017;235
"242";37;"Harju maakond";2;"Folkloor";2;"Naised";2018;2018;227
"243";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2008;2008;140
"244";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2009;2009;148
"245";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2010;2010;418
"246";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2011;2011;467
"247";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2012;2012;467
"248";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2013;2013;467
"249";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2014;2014;492
"250";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2015;2015;494
"251";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2016;2016;509
"252";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2017;2017;515
"253";37;"Harju maakond";3;"Harrastusteater";1;"Mehed";2018;2018;488
"254";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2008;2008;266
"255";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2009;2009;278
"256";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2010;2010;782
"257";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2011;2011;870
"258";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2012;2012;870
"259";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2013;2013;870
"260";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2014;2014;901
"261";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2015;2015;904
"262";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2016;2016;928
"263";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2017;2017;928
"264";37;"Harju maakond";3;"Harrastusteater";2;"Naised";2018;2018;873
"265";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2008;2008;4031
"266";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2009;2009;4143
